  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   23    0   38.46  31.25     5     13   16      7     23    23   100.00
   2   23    0   58.33  41.18     7     12   17      6     23    21    91.30
   3   21    0   80.00  75.00    12     15   16      2     21    21   100.00
   4   38    0   52.17  42.86    12     23   28      7     38    38   100.00
   5    5    0  100.00 100.00     4      4    4      0      5     5   100.00
   6   25    0   40.00  31.58     6     15   19      8     25    23    92.00
   7   32    0   41.67  35.71    10     24   28     11     32    30    93.75
   8   27    0   50.00  32.00     8     16   25     11     27    26    96.30
   9   59    0   40.00  33.33    18     45   54     25     59    55    93.22
  10   29    0   78.26  72.00    18     23   25      2     29    29   100.00
  11   77    0   31.91  21.43    15     47   70     40     77    74    96.10
  12   52    0   35.29  26.09    12     34   46     24     52    48    92.31
  13   17    0   75.00  60.00     9     12   15      3     17    16    94.12
  14   34    0   53.85  42.42    14     26   33     11     34    32    94.12
  15   12    0   55.56  50.00     5      9   10      2     12    11    91.67
  16   25    0   70.00  60.87    14     20   23      6     25    22    88.00
  17    3    0   66.67  66.67     2      3    3      0      3     2    66.67
  18    6    0  100.00 100.00     6      6    6      0      6     6   100.00
  19   23    0   52.63  47.62    10     19   21      8     23    23   100.00
  20   23    0   43.75  36.84     7     16   19      6     23    21    91.30
  21   40    0   17.39  12.50     4     23   32     13     40    38    95.00
  22   18    0   57.14  53.33     8     14   15      2     18    17    94.44
  23   38    0   39.13  29.03     9     23   31     16     38    36    94.74
  24   42    0   37.04  27.03    10     27   37     14     42    40    95.24
  25   17    0   87.50  53.85     7      8   13      2     17    17   100.00
  26   46    0   45.16  36.84    14     31   38     16     46    44    95.65
  27   45    0   36.36  21.05     8     22   38     18     45    42    93.33
  28    2    0  100.00 100.00     3      3    3      0      2     2   100.00
  29   38    0   33.33  25.00     7     21   28      9     38    37    97.37
  30    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  31   17    0   18.18  15.38     2     11   13      6     17    16    94.12
  32    7    0  100.00 100.00     4      4    4      0      7     7   100.00
  33    7    0   80.00  66.67     4      5    6      0      7     7   100.00
  34    5    0  100.00 100.00     5      5    5      0      5     5   100.00
  35    5    0  100.00 100.00     4      4    4      0      5     4    80.00
  36    2    0  100.00 100.00     2      2    2      0      2     2   100.00
  37    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  38    6    0  100.00 100.00     7      7    7      0      6     6   100.00
  39   32    0   46.43  39.39    13     28   33     16     32    32   100.00
  40   37    0   29.63  26.67     8     27   30     17     37    37   100.00
  41   14    0   42.86  27.27     3      7   11      3     14    14   100.00
  42   26    0   27.78  19.23     5     18   26     15     26    25    96.15
  43    6    0  100.00 100.00     6      6    6      0      6     6   100.00
  44   90    0   32.79  25.00    20     61   80     40     90    88    97.78
  45   35    0   46.43  43.33    13     28   30      9     35    31    88.57
  46   27    0   40.00  24.00     6     15   25     11     27    26    96.30
  47   49    0   32.26  24.39    10     31   41     24     49    45    91.84
  48   30    0   15.00  13.04     3     20   23     10     30    27    90.00
  49    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  50   16    0   80.00  72.73     8     10   11      0     16    15    93.75
  51   14    0   55.56  50.00     5      9   10      3     14    13    92.86
  52   14    0   44.44  40.00     4      9   10      4     14    14   100.00
  53   20    0   54.55  35.29     6     11   17      3     20    19    95.00
  54   20    0   84.62  55.00    11     13   20      5     20    19    95.00
  55   14    0  100.00  90.00     9      9   10      0     14    14   100.00
  56   23    0   42.86  33.33     6     14   18      8     23    21    91.30
  57    3    0  100.00 100.00     2      2    2      0      3     3   100.00
  58    3    0  100.00 100.00     2      2    2      0      3     3   100.00
  59    5    0  100.00 100.00     4      4    4      0      5     5   100.00
  60   27    0   40.00  29.63     8     20   27     12     27    27   100.00
  61   52    0   38.64  32.08    17     44   53     25     52    49    94.23
  62   28    0   55.00  44.00    11     20   25     12     28    25    89.29
  63   21    0   40.00  31.58     6     15   19      9     21    21   100.00
  64   23    0   35.71  29.41     5     14   17     10     23    23   100.00
  65   61    0   37.21  28.07    16     43   57     27     61    61   100.00
  66   48    0   42.42  31.82    14     33   44     20     48    44    91.67
  67    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  68   12    0   85.71  60.00     6      7   10      2     12    12   100.00
  69   43    0   54.17  39.39    13     24   33     13     43    42    97.67
  70   18    0   38.46  31.25     5     13   16      6     18    18   100.00
  71   16    0   55.56  45.45     5      9   11      3     16    15    93.75
  72   24    0   50.00  37.50     6     12   16      5     24    24   100.00
  73   31    0   57.14  42.86    12     21   28      7     31    29    93.55
  74    3    0   75.00  75.00     3      4    4      0      3     2    66.67
  75   14    0   70.00  58.33     7     10   12      3     14    14   100.00
  76   14    0   33.33  25.00     2      6    8      4     14    14   100.00
  77   13    0   44.44  36.36     4      9   11      6     13    12    92.31
  78   19    0   46.15  33.33     6     13   18      8     19    19   100.00
  79   15    0   66.67  61.54     8     12   13      2     15    15   100.00
  80   20    0   43.75  43.75     7     16   16      6     20    19    95.00
  81   30    0   52.38  44.00    11     21   25     12     30    29    96.67
  82   45    0   40.62  33.33    13     32   39     18     45    42    93.33
  83   14    0   85.71  60.00     6      7   10      2     14    14   100.00
  84   31    0   54.55  46.15    12     22   26      7     31    29    93.55
  85   31    0   33.33  21.88     7     21   32     20     31    29    93.55
  86   15    0   71.43  50.00     5      7   10      4     15    13    86.67
  87   37    0   42.31  34.38    11     26   32     16     37    37   100.00
  88   30    0   25.00  19.23     5     20   26     16     30    28    93.33
  89   24    0   20.00  14.29     3     15   21     13     24    22    91.67
  90   10    0   20.00  14.29     1      5    7      2     10    10   100.00
  91    3    0  100.00 100.00     4      4    4      0      3     3   100.00
  92   13    0   44.44  40.00     4      9   10      3     13    12    92.31
  93   45    0   46.43  34.21    13     28   38     19     45    42    93.33
  94   23    0   53.33  44.44     8     15   18      3     23    23   100.00
  95   34    0   54.55  41.38    12     22   29     11     34    34   100.00
  96   24    0   63.16  57.14    12     19   21      4     24    23    95.83
  97    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  98   11    0   62.50  45.45     5      8   11      2     11    10    90.91
  99    5    0  100.00 100.00     4      4    4      0      5     5   100.00
 100    2    0   66.67 100.00     2      3    2      0      2     2   100.00
 101    3    0  100.00 100.00     2      2    2      0      3     3   100.00
 102    3    0  100.00 100.00     2      2    2      0      3     3   100.00
 103    3    0  100.00 100.00     2      2    2      0      3     3   100.00
 104    7    0   80.00  66.67     4      5    6      0      7     7   100.00
 105    7    0  100.00 100.00     7      7    7      0      7     7   100.00
 106    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 107    6    0   85.71  85.71     6      7    7      0      6     6   100.00
 108   42    0   16.13  12.20     5     31   41     27     42    40    95.24
 109   15    0   80.00  72.73     8     10   11      1     15    15   100.00
 110    5    0   80.00  80.00     4      5    5      0      5     4    80.00
 111   39    1    0.00   0.00     0      0    0      0      0     0     0.00
 112   44    0   43.75  35.90    14     32   39     13     44    42    95.45
 113   20    0   71.43  62.50    10     14   16      2     20    19    95.00
 114   33    0   57.14  40.00    12     21   30     10     33    31    93.94
 115   11    0   44.44  44.44     4      9    9      3     11    10    90.91
 116   23    0   50.00  36.84     7     14   19      8     23    21    91.30
 117   18    0   50.00  41.18     7     14   17      6     18    17    94.44
 118   34    0   16.67  14.29     4     24   28     17     34    32    94.12
 119   43    0   62.50  52.63    20     32   38     11     43    42    97.67
 120   25    0   37.50  33.33     6     16   18      7     25    22    88.00
 121   41    0   40.00  31.58    12     30   38     19     41    41   100.00
 122   11    0   80.00  57.14     4      5    7      1     11    11   100.00
 123   33    0   33.33  24.24     8     24   33     15     33    26    78.79
 124   35    0   42.86  32.14     9     21   28      9     35    31    88.57
 125   35    0   54.55  42.86    12     22   28      7     35    28    80.00
 126    6    0  100.00  83.33     5      5    6      0      6     6   100.00
 127   10    0   42.86  33.33     3      7    9      3     10    10   100.00
